iter	RMSE
852	263820.5006
853	263803.9865
854	263781.3102
855	263748.5811
856	263733.6557
857	263696.6204
858	263661.6457
859	263626.8526
860	263588.8782
861	263553.3815
862	263522.9214
863	263432.0197
864	263367.2233
865	263319.4435
866	263256.8157
867	263223.6754
868	263199.5156
869	263164.952
870	263101.1914
871	263072.1683
872	263049.9852
873	263033.9661
874	262994.6918
875	262921.5834
876	262891.0406
877	262838.226
878	262806.6498
879	262769.334
880	262746.6659
881	262713.6668
882	262691.2965
883	262655.4357
884	262619.4012
885	262579.4826
886	262501.0625
887	262450.0217
888	262415.7455
889	262378.7244
890	262325.9585
891	262292.4796
892	262242.3593
893	262204.747
894	262159.9461
895	262134.2913
896	262067.8399
897	262044.1711
898	262026.0732
899	261954.614
900	261913.9981
901	261884.1299
902	261824.6006
903	261787.3249
904	261759.6025
905	261719.8292
906	261645.4694
907	261612.2874
908	261579.1675
909	261560.62
910	261514.6006
911	261487.6869
912	261469.8113
913	261437.2755
914	261412.2292
915	261395.6773
916	261368.5923
917	261352.1175
918	261287.1501
919	261269.222
920	261245.821
921	261206.2305
922	261194.1913
923	261142.1284
924	261078.7149
925	261016.2876
926	260966.873
927	260935.4041
928	260918.2356
929	260844.0459
930	260810.1188
931	260786.0264
932	260768.6932
933	260731.3677
934	260711.4959
935	260693.4626
936	260637.2097
937	260596.1262
938	260575.4973
939	260549.8696
940	260517.5184
941	260502.5423
942	260475.8157
943	260453.015
944	260430.9396
945	260372.3381
946	260350.6079
947	260331.1143
948	260297.668
949	260291.7505
950	260258.6972
951	260213.5224
952	260186.9254
953	260164.618
954	260111.101
955	260089.1932
956	260059.2052
957	260028.8387
958	260013.5087
959	259999.6834
960	259978.0302
961	259940.115
962	259893.3016
963	259869.0621
964	259838.8093
965	259814.2849
966	259752.0595
967	259710.2274
968	259654.3251
969	259587.5838
970	259515.0513
971	259481.3565
972	259452.5376
973	259429.7902
974	259400.5557
975	259359.922
976	259334.2388
977	259308.5981
978	259287.6563
979	259267.8135
980	259245.6011
981	259165.2099
982	259149.3496
983	259102.4515
984	259031.1529
985	259006.0501
986	258983.2318
987	258946.1571
988	258911.4057
989	258895.8933
990	258871.3799
991	258805.1873
992	258780.9332
993	258740.5873
994	258682.3992
995	258669.6748
996	258638.1351
997	258601.8464
998	258566.587
999	258543.4824
1000	258510.9533
1001	258440.536
1002	258372.7846
1003	258339.0997
1004	258274.3653
